Arizona,,,,,New York,,,,,Colorado,,,,,California,,,,,New York - Laguardia,,,
T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb
299.1908938,11.71769865,22.50715925,13.74575497,,272.4131783,0.735728852,81.58699349,92,,271.2361285,12.4585466,48.69142167,58,,280.275339,2.841949643,51.89283309,96,,279.445458,5.083187304,66.73870183,44
292.5898172,5.831991769,26.19486472,13.74575497,,272.2176923,0.167652237,82.09706274,92,,265.1290574,2.014966732,58.75039424,58,,279.5594576,0.616304202,53.03620617,96,,277.2415779,0.489533372,71.17276817,45
288.213032,0.000414082,29.07854975,16.12525985,,272.16,0,82.24862705,92,,264.1998353,0.110552615,60.53715236,58,,279.26,0,53.49786842,100,,276.46,0,72.70443535,43
287.5944444,0,29.51877916,17.46378639,,272.16,0,82.24899297,92,,264.15,0,60.63586166,58,,279.86,0,52.67765213,96,,276.46,0,72.70480077,43
285.3722222,0,31.17181376,20.18538483,,272.16,0,82.24935892,100,,264.15,0,60.63594225,53,,278.76,0,54.19343066,96,,275.96,0,73.67026898,46
284.2611111,0,32.04309118,23.70172028,,272.16,0,82.24973526,92,,265.15,0,58.91893892,58,,278.76,0,54.19327284,100,,274.86,0,75.85202736,50
282.5944444,0,33.4092857,28.88162251,,273.16,0,80.05384755,92,,264.15,0,60.63610158,70,,279.26,0,53.49724125,100,,274.86,0,75.85237808,50
282.0388889,0,33.88139285,29.98263643,,274.16,0,77.93198436,86,,264.15,0,60.63617978,70,,279.26,0,53.49708038,96,,274.86,0,75.85272877,50
280.3722222,0,35.34933652,30.79811314,,274.16,0,77.93236597,86,,264.15,0,60.63626033,70,,279.86,0,52.67687155,96,,274.86,0,75.85307942,48
279.8166667,0,35.8568379,30.63141242,,273.16,0,80.05502138,92,,265.15,0,58.9192457,64,,279.86,0,52.67671005,96,,274.86,0,75.85343004,50
278.7055556,0,36.89982149,37.66034333,,273.16,0,80.05539007,92,,263.15,0,62.41717757,70,,279.86,0,52.67654855,96,,274.86,0,75.85377494,50
278.15,0,37.43596936,34.3737334,,272.16,0,82.25208646,92,,264.15,0,60.63649039,70,,279.86,0,52.67638705,96,,274.26,0,77.07871452,55
278.15,0,37.43621192,35.90229264,,272.16,0,82.25244257,92,,263.15,0,62.41733567,76,,279.86,0,52.67622554,100,,273.76,0,78.11882981,54
278.15,0,37.4364508,35.90229264,,271.16,0,84.52627554,92,,265.15,0,58.91954559,70,,279.86,0,52.67606656,96,,273.16,0,79.3905682,54
277.5944444,0,37.98258058,34.20404959,,271.16,0,84.52662972,92,,263.55,0,61.69736565,70,,279.26,0,53.49594001,96,,272.06,0,81.79093857,54
277.7566505,0,37.82241133,37.32145578,,271.2080634,0.134530153,84.39727293,92,,262.1901288,0.089019987,64.179353,70,,279.3628962,0.228260816,53.33515752,100,,271.7100019,0.699759181,82.47980037,49
280.8657187,7.096682885,34.90837888,38.97306861,,272.1046966,2.43482832,82.0513714,92,,265.5913704,1.055375648,58.07650016,64,,280.5351128,1.186956242,51.6778396,96,,274.3189172,7.707629471,76.01482906,49
291.4149467,23.6381948,26.93492875,28.38987661,,276.2682517,13.77182644,72.10751981,92,,272.435954,7.289425651,47.53221861,45,,282.4217915,2.876086278,49.13542357,100,,280.3972058,21.64979204,63.5092609,47
300.5595645,35.43461077,21.83221258,24.5932238,,283.2204031,29.81880291,58.93934134,85,,277.1192495,10.22705391,41.77915022,32,,284.5894157,4.793477129,46.41037592,96,,283.7686447,32.77267739,57.41077114,47
306.7938481,42.21110678,19.05614725,23.15337008,,285.0947421,36.20454281,55.75905266,85,,275.2870364,5.109940321,44.19593651,32,,285.251582,6.048343515,45.57145572,96,,288.999801,39.32236932,50.11465176,43
311.690432,44.85247035,17.19131428,20.6275732,,285.341202,38.30419625,55.25627711,85,,276.0695315,4.420924697,43.3391174,33,,286.2474023,6.483042629,44.44092811,96,,292.4770424,41.52111919,46.05455178,37
315.4939234,43.19331966,15.90485009,17.12195678,,287.2698028,36.36611801,52.88891968,78,,284.2473169,19.4383371,34.37938795,34,,285.9173534,6.116799676,44.82599557,96,,290.0918789,39.30270251,48.84140892,37
310.0379938,38.94707668,17.79436314,15.27605329,,283.8064238,26.4297895,58.38648406,78,,289.436913,27.34537185,29.97280669,29,,285.4877649,4.973760848,45.37837593,93,,289.6174201,32.73725544,49.85304834,36
307.195847,31.24191926,18.89595529,13.63450586,,279.6232817,17.18888502,65.7661764,85,,286.3436332,21.17410412,32.5746582,32,,284.8234624,3.554338479,46.22608584,93,,284.4455449,22.0767265,57.36433378,34
